id,bedrooms,price,reviews_per_month
14831696,2,145.00,0.68
3951251,1,88.00,0.56
16590973,1,130.00,2.40
9283701,2,110.00,0.24
6458721,1,115.00,0.46
14864447,1,70.00,1.59
16306240,1,120.00,0.98
15211538,1,45.00,5.27
1261425,1,45.00,0.04
5978154,2,240.00,0.56
10691231,1,130.00,
8024854,1,185.00,1.45
6606330,1,145.00,0.18
1551034,2,300.00,1.02
17229308,1,85.00,
2117111,2,179.00,1
17312436,2,205.00,2
5317273,3,175.00,0.04
76459,1,110.00,0.15
6667963,0,120.00,1.22
9424352,2,120.00,0.62
931801,1,130.00,2.37
17120914,1,90.00,
14229674,1,149.00,
9981383,2,190.00,1.05
14987811,1,100.00,0.37
6110143,1,99.00,0.80
4926673,1,40.00,0.11
2174139,1,115.00,0.31
13577417,1,110.00,
17654056,2,100.00,2
17539225,2,140.00,4
2047323,4,350.00,0.39
4435135,2,175.00,0.36
3217966,1,100.00,3.44
15579126,1,140.00,0.39
11185335,1,125.00,0.39
9874608,4,300.00,0.13
13661461,1,140.00,0.27
9252010,1,65.00,0.06
6070927,1,110.00,0.68
13863250,1,120.00,0.41
6143603,2,99.00,0.45
2005996,1,74.00,5.86
5950879,2,215.00,0.99
10997159,3,129.00,0.13
13323689,3,235.00,
13057640,1,180.00,1.23
8659596,2,200.00,0.06
2469007,2,169.00,0.86
8375536,1,119.00,0.65
6830664,2,111.00,
8233604,2,189.00,0.43
14562797,1,118.00,
7744120,1,112.00,1.01
11171087,1,99.00,0.22
15416919,3,250.00,0.47
9223760,1,69.00,1.01
1326658,1,100.00,1.39
13138677,3,150.00,0.37
11773527,1,85.00,0.47
11517521,1,90.00,0.24
2633582,1,97.00,3.70
11614207,1,73.00,0.88
3001581,1,99.00,0.25
17803888,1,120.00,
14326318,1,65.00,0.26
15368844,1,120.00,1.29
12963180,1,120.00,0.33
3814846,1,100.00,0.79
6242853,1,99.00,0.35
16141651,1,120.00,0.33
7781948,1,100.00,0.21
9216119,1,99.00,0.78
4557044,1,90.00,1.89
12604401,1,49.00,0.09
4502661,2,89.00,0.27
7357283,1,85.00,0.39
12049839,1,80.00,
16876655,1,70.00,0.94
9292601,1,110.00,1.29
9880410,1,130.00,
11580852,1,90.00,0.71
13925388,0,55.00,4.37
14117599,1,40.00,1.70
7303805,1,45.00,0.34
14276081,0,70.00,1.30
13163805,1,70.00,2.24
15718431,1,30.00,0.53
14967001,1,50.00,3.05
16445806,1,70.00,
15886823,1,40.00,1.02
17446031,2,142.00,
16546301,1,69.00,3.71
7303459,1,42.00,0.23
14967582,1,50.00,2.40
7627532,1,99.00,0.43
15753136,1,59.00,2.34
17606679,1,70.00,1
5957043,1,80.00,0.26
3204444,4,90.00,0.06
3905287,1,59.00,2.96
16426363,1,90.00,0.65
7131573,1,50.00,3.58
15373287,1,45.00,0.56
16426076,1,85.00,
14307719,1,98.00,2.06
16219344,1,59.00,6.43
10670670,2,130.00,
15880862,1,50.00,0.71
17587228,1,80.00,
17460676,2,120.00,1
12023314,2,99.00,2.39
12680964,1,30.00,0.27
16060513,1,50.00,0.32
6345602,2,120.00,0.85
16682109,1,40.00,1.54
2942229,1,65.00,5.27
12289041,1,55.00,0.78
13986172,3,36.00,
9268952,2,125.00,1.68
13054514,2,115.00,0.86
16139419,1,29.00,3.40
14760407,1,98.00,1.48
13711830,3,130.00,1.44
10907707,1,40.00,4.84
12272272,1,58.00,1.37
16990775,1,33.00,1.71
16761395,1,50.00,3.81
10860856,1,45.00,4.17
9038396,1,55.00,0.18
17019247,1,40.00,1
7880299,2,85.00,0.39
3522143,1,50.00,0.15
17820612,0,53.00,
17261479,1,88.00,3.33
15970340,2,400.00,
17874192,4,220.00,
16333022,2,80.00,
13262666,1,42.00,1.11
9925265,2,75.00,0.66
7046849,1,45.00,0.95
15411166,3,120.00,2.67
16557956,1,30.00,6.15
16200584,1,59.00,5.31
15279131,2,180.00,1.98
5362748,1,45.00,1.05
15938312,1,40.00,
15838026,2,70.00,1.86
14884660,3,89.00,0.19
11650989,1,45.00,3.43
4402514,1,30.00,0.93
15780868,3,150.00,0.60
16669922,2,205.00,
16426504,1,65.00,
15977029,1,50.00,1.12
13993768,2,74.00,1.28
10662701,2,100.00,0.29
16915340,1,35.00,5.91
17941656,1,30.00,
17615037,1,90.00,
2508498,1,60.00,0.17
12508971,1,35.00,
15818103,1,75.00,1.49
9880934,1,65.00,0.92
11684742,1,50.00,5.38
14950157,1,50.00,1.56
15235602,1,75.00,1.42
14684283,1,43.00,0.92
14719018,1,60.00,2.71
15963995,1,50.00,1
17113482,1,99.00,0.75
9115414,1,40.00,0.33
7706472,2,109.00,4.06
14027169,2,129.00,2.10
4831606,1,33.00,0.58
591951,3,150.00,0.54
16255815,1,59.00,5.84
15764213,1,60.00,2.77
5870618,1,250.00,0.04
3719167,1,44.00,0.91
14583529,1,100.00,
17826814,1,75.00,
12031955,2,120.00,
13685155,2,135.00,1.51
11469902,1,65.00,2.33
16461420,1,50.00,0.32
